n0,g42,g15
n1,g0,g36
n2,g59,g93
n3,g34,g99
n4,g66,g90
n5,g29,g20
n6,g97,g38
n7,g19,g80
n8,g36,g82
n9,g77,g9
n10,g12,g8
n11,g68,g56
n12,g23,g48
n13,g20,g83
n14,g38,g78
n15,g19,g50
n16,g76,g0
n17,g85,g81
n18,g56,g49
n19,g71,g83
n20,g97,g59
n21,g14,g53
n22,g69,g17
n23,g50,g57
n24,g52,g83
n25,g67,g12
n26,g54,g82
n27,g35,g48
n28,g94,g85
n29,g74,g84
n30,g96,g83
n31,g98,g38
n32,g91,g62
n33,g41,g9
n34,g10,g78
n35,g45,g4
n36,g29,g85
n37,g54,g17
n38,g53,g52
n39,g23,g67
n40,g14,g57
n41,g82,g93
n42,g76,g9
n43,g57,g58
n44,g66,g53
n45,g69,g26
n46,g78,g34
n47,g87,g95
n48,g81,g40
n49,g4,g2
n50,g25,g1
n51,g81,g60
n52,g35,g37
n53,g46,g24
n54,g55,g25
n55,g96,g21
n56,g40,g19
n57,g94,g57
n58,g86,g92
n59,g75,g76
n60,g51,g46
n61,g27,g35
n62,g67,g90
