n0,g80,g39
n1,g13,g75
n2,g26,g86
n3,g10,g46
n4,g42,g73
n5,g94,g33
n6,g86,g5
n7,g38,g63
n8,g41,g28
n9,g62,g80
n10,g23,g33
n11,g41,g81
n12,g21,g78
n13,g63,g81
n14,g33,g45
n15,g84,g38
n16,g28,g97
n17,g26,g34
n18,g17,g46
n19,g1,g72
n20,g24,g53
n21,g30,g5
n22,g23,g26
n23,g59,g85
n24,g81,g10
n25,g22,g88
n26,g39,g56
n27,g55,g11
n28,g3,g94
n29,g66,g47
n30,g70,g47
n31,g15,g6
n32,g66,g92
n33,g93,g87
n34,g16,g58
n35,g51,g59
n36,g2,g63
n37,g68,g44
n38,g92,g65
n39,g89,g52
n40,g87,g11
n41,g26,g30
n42,g10,g38
n43,g76,g72
n44,g97,g31
n45,g97,g34
n46,g63,g9
n47,g35,g21
n48,g93,g21
n49,g9,g41
n50,g91,g11
n51,g34,g6
n52,g92,g78
n53,g14,g82
n54,g82,g49
n55,g62,g76
n56,g22,g68
n57,g34,g8
n58,g8,g58
n59,g42,g5
n60,g65,g90
n61,g33,g18
n62,g3,g69
