n0,g85,g25
n1,g28,g66
n2,g91,g40
n3,g70,g88
n4,g44,g27
n5,g32,g59
n6,g93,g30
n7,g39,g77
n8,g75,g5
n9,g97,g22
n10,g39,g43
n11,g88,g62
n12,g41,g85
n13,g37,g32
n14,g71,g32
n15,g51,g39
n16,g98,g68
n17,g35,g91
n18,g1,g39
n19,g43,g51
n20,g0,g28
n21,g10,g11
n22,g63,g61
n23,g59,g78
n24,g9,g12
n25,g71,g15
n26,g83,g17
n27,g99,g3
n28,g97,g54
n29,g71,g44
n30,g43,g73
n31,g47,g90
n32,g21,g4
n33,g23,g6
n34,g71,g99
n35,g30,g50
n36,g86,g58
n37,g81,g59
n38,g79,g48
n39,g62,g53
n40,g41,g72
n41,g46,g54
n42,g46,g73
n43,g51,g67
n44,g91,g19
n45,g75,g52
n46,g84,g78
n47,g75,g89
n48,g23,g5
n49,g51,g44
n50,g52,g83
n51,g58,g59
n52,g61,g55
n53,g12,g88
n54,g21,g82
n55,g14,g54
n56,g15,g60
n57,g92,g19
n58,g37,g55
n59,g20,g68
n60,g28,g33
n61,g16,g66
n62,g37,g97
n63,g64,g79
n64,g4,g32
