n0,g78,g32
n1,g20,g90
n2,g35,g75
n3,g63,g69
n4,g11,g76
n5,g6,g49
n6,g93,g79
n7,g10,g58
n8,g92,g26
n9,g23,g71
n10,g34,g25
n11,g21,g11
n12,g37,g78
n13,g96,g9
n14,g45,g9
n15,g23,g66
n16,g12,g55
n17,g24,g63
n18,g15,g38
n19,g55,g72
n20,g38,g30
n21,g81,g85
n22,g51,g22
n23,g21,g8
n24,g52,g2
n25,g48,g76
n26,g96,g80
n27,g7,g94
n28,g71,g61
n29,g73,g90
n30,g25,g57
n31,g37,g29
n32,g89,g72
n33,g67,g77
n34,g80,g83
n35,g37,g90
n36,g42,g43
n37,g51,g79
n38,g32,g49
n39,g10,g83
n40,g92,g21
n41,g64,g35
n42,g23,g15
n43,g41,g78
n44,g34,g75
n45,g95,g25
n46,g24,g34
n47,g11,g92
n48,g99,g87
n49,g31,g75
n50,g56,g39
n51,g11,g37
n52,g90,g7
n53,g14,g45
n54,g81,g60
n55,g88,g23
n56,g84,g12
n57,g18,g96
n58,g15,g29
n59,g41,g61
n60,g51,g98
n61,g90,g15
n62,g71,g88
n63,g74,g10
n64,g20,g58
n65,g79,g84
n66,g3,g15
