n70,g26,g11
n65,g85,g46
n6,g77,g12
n35,g96,g78
n4,g88,g67
n32,g43,g8
n72,g21,g46
n26,g3,g18
n21,g34,g73
n60,g93,g40
n20,g91,g4
n51,g2,g88
n69,g57,g69
n71,g77,g88
n28,g67,g30
n14,g47,g89
n45,g44,g50
n39,g14,g19
n5,g31,g43
n23,g20,g69
n24,g76,g17
n54,g94,g47
n16,g63,g95
n17,g82,g70
n18,g58,g67
n63,g37,g91
n9,g73,g27
n25,g23,g97
n30,g99,g76
n31,g30,g74
n10,g8,g14
n43,g68,g20
n68,g29,g42
n34,g28,g0
n8,g77,g89
n53,g15,g70
n55,g92,g51
n38,g58,g87
n33,g50,g12
n62,g87,g90
n11,g67,g7
n27,g92,g22
n50,g3,g7
n44,g15,g58
n12,g63,g51
n67,g80,g54
n0,g86,g50
n22,g37,g22
n58,g41,g60
n36,g48,g27
n42,g97,g33
n61,g57,g97
n3,g87,g1
n29,g95,g80
n47,g70,g83
n49,g31,g36
n52,g28,g76
n59,g58,g1
n57,g48,g80
n66,g20,g43
n37,g15,g23
n13,g68,g90
n40,g39,g79
n19,g85,g5
n46,g93,g19
n7,g81,g99
n15,g72,g95
n48,g91,g98
n41,g2,g89
n64,g74,g71
n56,g88,g26
n2,g95,g17
n1,g69,g14
