n0,g33,g10
n1,g68,g42
n2,g65,g28
n3,g81,g33
n4,g7,g5
n5,g12,g77
n6,g41,g27
n7,g53,g28
n8,g88,g77
n9,g9,g49
n10,g81,g11
n11,g42,g54
n12,g11,g86
n13,g20,g95
n14,g22,g93
n15,g61,g46
n16,g37,g88
n17,g25,g70
n18,g91,g9
n19,g56,g35
n20,g97,g69
n21,g2,g53
n22,g88,g94
n23,g97,g31
n24,g20,g1
n25,g16,g64
n26,g46,g89
n27,g70,g46
n28,g73,g86
n29,g12,g53
n30,g2,g18
n31,g37,g18
n32,g41,g49
n33,g62,g78
n34,g24,g66
n35,g31,g5
n36,g49,g46
n37,g94,g69
n38,g5,g18
n39,g13,g57
n40,g35,g49
n41,g54,g89
n42,g99,g6
n43,g63,g44
n44,g6,g98
