n0,g67,g1
n1,g54,g86
n2,g62,g55
n3,g88,g2
n4,g10,g90
n5,g61,g28
n6,g34,g5
n7,g44,g57
n8,g86,g57
n9,g61,g93
n10,g4,g19
n11,g74,g10
n12,g54,g42
n13,g90,g23
n14,g75,g86
n15,g58,g25
n16,g43,g71
n17,g75,g33
n18,g13,g63
n19,g89,g73
n20,g16,g80
n21,g39,g24
n22,g46,g52
n23,g32,g18
n24,g77,g39
n25,g62,g4
n26,g43,g74
n27,g28,g83
n28,g44,g49
n29,g51,g15
n30,g24,g85
n31,g68,g61
n32,g2,g16
n33,g47,g52
n34,g37,g33
n35,g66,g64
n36,g89,g83
n37,g21,g2
n38,g77,g67
n39,g24,g25
n40,g62,g97
n41,g55,g40
n42,g10,g87
n43,g63,g35
n44,g52,g81
