n0,g73,g83
n1,g71,g63
n2,g97,g24
n3,g45,g9
n4,g89,g90
n5,g58,g94
n6,g87,g86
n7,g13,g37
n8,g31,g15
n9,g9,g60
n10,g3,g63
n11,g4,g98
n12,g65,g58
n13,g57,g81
n14,g68,g52
n15,g5,g17
n16,g13,g4
n17,g59,g51
n18,g92,g57
n19,g58,g63
n20,g93,g0
n21,g7,g2
n22,g74,g15
n23,g34,g10
n24,g56,g69
n25,g23,g61
n26,g56,g70
n27,g33,g24
n28,g88,g13
n29,g75,g59
n30,g47,g60
n31,g92,g35
n32,g67,g27
n33,g35,g34
n34,g64,g62
n35,g35,g9
n36,g28,g62
n37,g11,g59
n38,g80,g39
n39,g20,g32
n40,g47,g51
n41,g26,g88
n42,g61,g27
n43,g74,g57
n44,g33,g38
