n0,g20,g85
n1,g34,g52
n2,g15,g63
n3,g69,g7
n4,g15,g97
n5,g91,g5
n6,g66,g89
n7,g99,g10
n8,g24,g77
n9,g50,g90
n10,g89,g74
n11,g69,g60
n12,g31,g30
n13,g13,g31
n14,g61,g99
n15,g89,g83
n16,g33,g27
n17,g60,g95
n18,g29,g51
n19,g54,g32
n20,g83,g13
n21,g33,g15
n22,g56,g22
n23,g96,g7
n24,g0,g99
n25,g5,g73
n26,g40,g54
n27,g75,g97
n28,g97,g3
n29,g23,g94
n30,g37,g76
n31,g1,g79
n32,g43,g15
n33,g50,g5
n34,g26,g39
n35,g26,g54
n36,g41,g30
n37,g37,g41
n38,g13,g82
n39,g30,g87
n40,g50,g36
n41,g71,g51
n42,g17,g32
n43,g23,g18
n44,g55,g38
n45,g73,g83
n46,g42,g20
n47,g48,g63
n48,g27,g17
n49,g86,g69
n50,g63,g8
