n0,g44,g22
n1,g59,g81
n2,g30,g50
n3,g59,g98
n4,g15,g25
n5,g38,g93
n6,g38,g0
n7,g64,g62
n8,g20,g65
n9,g68,g20
n10,g65,g80
n11,g73,g13
n12,g81,g3
n13,g53,g59
n14,g30,g66
n15,g17,g14
n16,g33,g25
n17,g85,g9
n18,g30,g19
n19,g36,g61
n20,g32,g30
n21,g68,g9
n22,g26,g46
n23,g75,g8
n24,g78,g23
n25,g57,g95
n26,g69,g75
n27,g10,g0
n28,g31,g3
n29,g30,g63
n30,g82,g74
n31,g49,g33
n32,g82,g37
n33,g47,g76
n34,g53,g11
n35,g78,g31
n36,g13,g78
n37,g52,g19
n38,g64,g9
n39,g71,g5
n40,g87,g90
n41,g42,g31
n42,g73,g4
n43,g27,g54
n44,g61,g55
n45,g70,g59
n46,g59,g12
n47,g69,g96
n48,g39,g76
n49,g52,g9
