n0,g56,g75
n1,g80,g32
n2,g44,g39
n3,g3,g85
n4,g51,g92
n5,g40,g57
n6,g44,g29
n7,g12,g24
n8,g9,g1
n9,g52,g38
n10,g91,g10
n11,g17,g39
n12,g75,g99
n13,g35,g90
n14,g11,g8
n15,g21,g19
n16,g59,g16
n17,g0,g87
n18,g69,g16
n19,g29,g52
n20,g27,g60
n21,g57,g66
n22,g5,g91
n23,g6,g3
n24,g39,g4
n25,g57,g7
n26,g18,g47
n27,g0,g60
n28,g29,g27
n29,g7,g99
n30,g86,g20
n31,g37,g62
n32,g94,g68
n33,g14,g57
n34,g66,g55
n35,g25,g77
n36,g80,g34
n37,g99,g18
n38,g71,g23
n39,g35,g48
n40,g39,g11
n41,g64,g40
n42,g38,g40
n43,g24,g53
n44,g75,g76
n45,g94,g37
n46,g69,g23
n47,g98,g71
n48,g23,g43
n49,g96,g95
n50,g31,g18
n51,g30,g27
n52,g84,g27
n53,g84,g23
n54,g3,g78
n55,g89,g66
n56,g19,g20
n57,g73,g18
n58,g57,g2
n59,g53,g21
n60,g89,g32
