n70,g49,g34
n6,g57,g73
n4,g45,g72
n22,g17,g73
n21,g27,g63
n60,g62,g38
n79,g43,g92
n74,g16,g69
n69,g16,g60
n28,g95,g83
n14,g85,g46
n45,g76,g90
n5,g47,g76
n23,g0,g47
n24,g26,g85
n17,g6,g71
n54,g98,g70
n77,g39,g19
n63,g59,g69
n9,g24,g16
n25,g81,g22
n10,g45,g52
n68,g71,g21
n34,g33,g18
n72,g17,g58
n73,g41,g61
n55,g52,g46
n44,g6,g28
n16,g28,g93
n80,g12,g54
n81,g87,g51
n75,g55,g61
n66,g90,g46
n47,g47,g58
n52,g97,g51
n59,g59,g36
n57,g14,g83
n71,g1,g68
n37,g38,g86
n31,g98,g47
n19,g87,g35
n46,g12,g57
n65,g67,g29
n85,g96,g26
n1,g16,g75
n84,g50,g3
n32,g37,g41
n26,g67,g4
n20,g35,g98
n53,g30,g64
n56,g94,g32
n76,g85,g95
n38,g52,g50
n13,g74,g43
n67,g89,g90
n41,g99,g26
n18,g90,g24
n11,g1,g75
n30,g86,g4
n35,g84,g42
n8,g19,g16
n83,g67,g58
n39,g29,g64
n33,g57,g92
n27,g22,g74
n50,g6,g12
n12,g62,g2
n82,g23,g49
n0,g37,g32
n43,g66,g99
n58,g81,g29
n36,g61,g37
n42,g32,g54
n61,g18,g97
n78,g42,g48
n3,g67,g31
n29,g86,g46
n49,g95,g40
n86,g0,g51
n62,g95,g15
n40,g33,g25
n51,g68,g32
n7,g3,g46
n15,g63,g85
n48,g97,g72
n64,g36,g88
n2,g76,g37
