n70,g93,g64
n65,g39,g62
n6,g78,g55
n35,g98,g56
n4,g87,g96
n32,g16,g91
n72,g12,g73
n26,g63,g23
n21,g39,g18
n60,g22,g66
n20,g84,g45
n51,g94,g25
n69,g4,g29
n71,g7,g5
n28,g61,g17
n14,g34,g99
n45,g1,g81
n39,g20,g27
n5,g14,g72
n23,g84,g40
n24,g32,g71
n54,g13,g24
n16,g28,g59
n17,g22,g70
n18,g48,g83
n63,g44,g67
n9,g29,g83
n25,g5,g53
n30,g67,g42
n31,g61,g99
n10,g99,g9
n43,g63,g4
n68,g14,g51
n34,g67,g6
n8,g4,g73
n53,g78,g72
n55,g98,g94
n38,g10,g60
n33,g64,g9
n62,g65,g95
n11,g44,g3
n27,g82,g25
n50,g46,g45
n44,g45,g82
n12,g68,g25
n67,g3,g55
n0,g53,g38
n22,g43,g3
n58,g54,g66
n36,g25,g6
n42,g6,g90
n61,g24,g11
n3,g88,g57
n29,g75,g76
n47,g60,g73
n49,g15,g56
n52,g2,g87
n59,g89,g47
n57,g82,g10
n66,g57,g84
n37,g82,g43
n13,g99,g91
n40,g53,g68
n19,g88,g0
n46,g88,g98
n7,g72,g63
n15,g58,g91
n48,g99,g84
n41,g36,g29
n64,g90,g10
n56,g45,g74
n2,g30,g73
n1,g1,g13
