n70,g98,g17
n65,g74,g85
n6,g57,g61
n35,g93,g55
n4,g14,g15
n32,g55,g77
n72,g8,g9
n26,g69,g11
n21,g85,g36
n60,g52,g54
n20,g91,g38
n51,g71,g45
n69,g69,g15
n71,g77,g21
n28,g6,g1
n14,g22,g44
n45,g3,g19
n39,g89,g22
n5,g14,g48
n23,g35,g29
n24,g36,g45
n54,g78,g84
n16,g29,g81
n17,g46,g22
n18,g40,g34
n63,g96,g83
n9,g5,g28
n25,g58,g82
n30,g87,g1
n31,g72,g16
n10,g67,g56
n43,g2,g85
n68,g84,g23
n34,g29,g6
n8,g65,g55
n53,g72,g76
n55,g59,g54
n38,g83,g49
n33,g55,g70
n62,g0,g66
n11,g65,g18
n27,g84,g22
n50,g71,g69
n44,g90,g1
n12,g29,g0
n67,g97,g21
n0,g54,g86
n22,g80,g67
n58,g37,g53
n36,g2,g60
n42,g4,g96
n61,g88,g6
n3,g45,g82
n29,g43,g3
n47,g21,g28
n49,g72,g86
n52,g32,g55
n59,g2,g20
n57,g73,g10
n66,g6,g20
n37,g91,g3
n13,g7,g49
n40,g24,g98
n19,g43,g19
n46,g13,g4
n7,g72,g68
n15,g31,g79
n48,g74,g31
n41,g4,g44
n64,g9,g43
n56,g17,g68
n2,g74,g77
n1,g29,g8
