n0,g75,g86
n1,g21,g66
n2,g99,g57
n3,g43,g85
n4,g86,g34
n5,g71,g11
n6,g78,g73
n7,g26,g42
n8,g19,g42
n9,g58,g43
n10,g3,g99
n11,g84,g44
n12,g25,g95
n13,g56,g16
n14,g29,g31
n15,g22,g18
n16,g28,g19
n17,g69,g5
n18,g40,g80
n19,g26,g33
n20,g4,g50
n21,g80,g98
n22,g33,g58
n23,g12,g2
n24,g68,g64
n25,g52,g14
n26,g54,g64
n27,g66,g39
n28,g39,g37
n29,g54,g82
n30,g83,g37
n31,g93,g43
n32,g61,g73
n33,g19,g68
n34,g24,g87
n35,g79,g2
n36,g23,g56
n37,g23,g89
n38,g57,g0
n39,g84,g96
n40,g52,g98
n41,g14,g48
n42,g21,g3
n43,g94,g99
n44,g69,g51
n45,g51,g49
n46,g28,g99
n47,g95,g4
n48,g56,g61
n49,g5,g15
