n0,g32,g16
n1,g65,g3
n2,g10,g17
n3,g67,g94
n4,g41,g97
n5,g18,g6
n6,g15,g1
n7,g18,g85
n8,g52,g92
n9,g44,g25
n10,g23,g75
n11,g64,g83
n12,g57,g87
n13,g67,g39
n14,g10,g28
n15,g31,g79
n16,g15,g8
n17,g58,g20
n18,g88,g24
n19,g52,g66
n20,g68,g40
n21,g15,g51
n22,g86,g53
n23,g49,g46
n24,g34,g61
n25,g51,g61
n26,g13,g56
n27,g4,g28
n28,g20,g37
n29,g80,g18
n30,g97,g36
n31,g30,g92
n32,g42,g91
n33,g72,g3
n34,g78,g40
n35,g19,g37
n36,g52,g39
n37,g62,g84
n38,g45,g1
n39,g10,g37
n40,g81,g30
n41,g67,g24
n42,g35,g37
n43,g29,g87
n44,g19,g59
n45,g7,g18
n46,g87,g98
n47,g98,g82
n48,g76,g57
n49,g21,g61
