n70,g5,g14
n6,g47,g95
n4,g10,g34
n22,g21,g19
n21,g4,g77
n60,g38,g48
n79,g84,g92
n74,g89,g3
n69,g57,g6
n28,g94,g65
n14,g22,g7
n45,g66,g23
n5,g34,g25
n23,g72,g4
n24,g36,g74
n17,g34,g0
n54,g79,g45
n77,g39,g95
n63,g99,g94
n9,g61,g50
n25,g93,g77
n10,g33,g47
n68,g62,g77
n34,g1,g40
n72,g99,g27
n73,g99,g29
n55,g80,g45
n44,g13,g46
n16,g36,g49
n80,g75,g12
n81,g76,g73
n75,g55,g23
n66,g98,g84
n47,g80,g42
n52,g9,g20
n59,g9,g47
n57,g1,g38
n71,g61,g75
n37,g70,g35
n31,g24,g94
n19,g20,g27
n46,g95,g63
n65,g69,g61
n85,g18,g80
n1,g60,g79
n84,g70,g8
n32,g27,g17
n26,g46,g24
n20,g73,g91
n53,g94,g74
n56,g76,g97
n76,g30,g10
n38,g0,g81
n13,g49,g70
n67,g88,g38
n41,g34,g12
n18,g78,g58
n11,g92,g68
n30,g72,g22
n35,g58,g28
n8,g8,g99
n83,g22,g27
n39,g48,g84
n33,g4,g50
n27,g22,g88
n50,g61,g32
n12,g93,g61
n82,g3,g22
n0,g76,g88
n43,g30,g21
n58,g47,g2
n36,g83,g10
n42,g29,g64
n61,g8,g12
n78,g19,g25
n3,g88,g19
n29,g21,g58
n49,g62,g39
n86,g78,g57
n62,g69,g3
n40,g16,g73
n51,g34,g55
n7,g98,g88
n15,g23,g99
n48,g24,g28
n64,g56,g83
n2,g32,g76
