n70,g0,g45
n6,g41,g93
n4,g11,g73
n22,g76,g14
n21,g82,g14
n60,g11,g77
n79,g60,g1
n74,g27,g51
n69,g54,g59
n28,g37,g34
n14,g7,g27
n45,g45,g67
n5,g1,g69
n23,g97,g98
n24,g1,g79
n17,g28,g13
n54,g62,g84
n77,g42,g56
n63,g18,g66
n9,g68,g89
n25,g61,g1
n10,g68,g55
n68,g78,g89
n34,g60,g28
n72,g14,g98
n73,g6,g71
n55,g77,g48
n44,g38,g51
n16,g35,g51
n80,g29,g22
n81,g42,g94
n75,g46,g56
n66,g63,g3
n47,g90,g44
n52,g60,g11
n59,g78,g34
n57,g41,g92
n71,g51,g6
n37,g84,g95
n31,g37,g59
n19,g95,g9
n46,g60,g84
n65,g42,g82
n85,g67,g2
n1,g57,g5
n84,g79,g62
n32,g98,g10
n26,g74,g10
n20,g59,g79
n53,g11,g38
n56,g56,g72
n76,g87,g10
n38,g77,g51
n13,g32,g97
n67,g22,g62
n41,g94,g8
n18,g9,g21
n11,g94,g83
n30,g16,g53
n35,g81,g17
n8,g1,g36
n83,g17,g30
n39,g17,g23
n33,g6,g13
n27,g45,g40
n50,g19,g59
n12,g75,g38
n82,g62,g33
n0,g93,g30
n43,g97,g89
n58,g32,g20
n36,g52,g11
n42,g10,g97
n61,g28,g83
n78,g20,g18
n3,g87,g72
n29,g82,g34
n49,g25,g61
n86,g35,g65
n62,g80,g41
n40,g33,g20
n51,g52,g46
n7,g57,g39
n15,g83,g84
n48,g54,g27
n64,g83,g5
n2,g38,g0
