n0,g65,g27
n1,g49,g17
n2,g75,g93
n3,g85,g17
n4,g90,g80
n5,g77,g13
n6,g36,g83
n7,g4,g70
n8,g39,g49
n9,g55,g74
n10,g33,g19
n11,g8,g11
n12,g53,g99
n13,g58,g67
n14,g38,g59
n15,g16,g68
n16,g9,g55
n17,g31,g23
n18,g49,g66
n19,g0,g19
n20,g81,g13
n21,g72,g25
n22,g33,g25
n23,g72,g37
n24,g23,g41
n25,g59,g65
n26,g82,g0
n27,g38,g44
n28,g57,g52
n29,g86,g84
n30,g36,g14
n31,g82,g3
n32,g76,g79
n33,g27,g4
n34,g57,g37
n35,g0,g5
n36,g90,g9
n37,g54,g82
n38,g35,g98
n39,g35,g79
n40,g48,g5
n41,g11,g59
n42,g40,g90
n43,g52,g89
n44,g39,g98
n45,g12,g18
n46,g32,g3
n47,g2,g52
n48,g88,g10
n49,g45,g19
