n0,g7,g16
n1,g75,g29
n2,g8,g67
n3,g67,g17
n4,g42,g61
n5,g50,g39
n6,g13,g72
n7,g86,g51
n8,g67,g15
n9,g1,g65
n10,g5,g27
n11,g71,g31
n12,g74,g81
n13,g97,g7
n14,g18,g22
n15,g54,g19
n16,g99,g89
n17,g31,g93
n18,g94,g0
n19,g62,g71
n20,g58,g93
n21,g73,g72
n22,g67,g59
n23,g57,g24
n24,g12,g14
n25,g67,g76
n26,g10,g82
n27,g29,g40
n28,g27,g94
n29,g91,g8
n30,g51,g34
n31,g75,g51
n32,g75,g52
n33,g98,g29
n34,g59,g61
n35,g41,g11
n36,g35,g61
n37,g76,g91
n38,g38,g23
n39,g2,g45
n40,g79,g29
n41,g38,g3
n42,g80,g27
n43,g70,g51
n44,g23,g95
n45,g78,g44
n46,g50,g19
n47,g50,g48
n48,g32,g12
n49,g97,g36
n50,g78,g64
n51,g42,g90
n52,g64,g19
n53,g2,g44
n54,g87,g11
n55,g64,g62
n56,g46,g88
n57,g61,g1
n58,g11,g85
n59,g82,g77
n60,g23,g27
n61,g65,g84
