n0,g38,g63
n1,g94,g62
n2,g59,g22
n3,g43,g38
n4,g32,g65
n5,g76,g98
n6,g71,g7
n7,g13,g54
n8,g23,g14
n9,g16,g76
n10,g81,g12
n11,g55,g42
n12,g31,g62
n13,g99,g53
n14,g98,g70
n15,g77,g56
n16,g67,g8
n17,g45,g8
n18,g60,g51
n19,g41,g80
n20,g24,g76
n21,g86,g5
n22,g54,g89
n23,g3,g82
n24,g87,g19
n25,g58,g98
n26,g1,g49
n27,g92,g33
n28,g96,g40
n29,g88,g17
n30,g83,g3
n31,g70,g67
n32,g21,g17
n33,g48,g7
n34,g59,g2
n35,g59,g40
n36,g94,g23
n37,g43,g78
n38,g80,g85
n39,g20,g3
n40,g5,g27
n41,g52,g33
n42,g23,g13
n43,g41,g40
n44,g78,g38
n45,g14,g16
n46,g17,g32
n47,g60,g74
n48,g69,g40
n49,g95,g99
n50,g12,g18
n51,g16,g82
n52,g98,g96
n53,g70,g12
n54,g95,g61
n55,g83,g69
