n70,g71,g25
n6,g94,g99
n4,g63,g61
n22,g40,g51
n21,g91,g30
n60,g83,g78
n79,g3,g81
n74,g76,g66
n69,g58,g56
n28,g58,g64
n14,g43,g6
n45,g1,g82
n89,g18,g20
n5,g52,g36
n23,g37,g44
n24,g2,g10
n17,g82,g64
n54,g41,g99
n77,g97,g44
n63,g98,g39
n9,g61,g95
n25,g73,g34
n87,g93,g67
n10,g80,g7
n68,g99,g32
n34,g5,g15
n72,g16,g27
n73,g18,g63
n55,g81,g30
n44,g9,g6
n16,g37,g8
n80,g2,g49
n81,g47,g60
n75,g48,g7
n66,g43,g40
n47,g23,g50
n52,g49,g53
n59,g76,g4
n57,g64,g59
n71,g76,g91
n37,g74,g19
n31,g22,g9
n19,g6,g3
n46,g52,g98
n65,g98,g29
n85,g10,g95
n1,g57,g98
n84,g33,g41
n32,g16,g8
n26,g59,g4
n20,g10,g63
n53,g90,g96
n56,g30,g89
n76,g69,g78
n38,g77,g41
n13,g37,g85
n67,g23,g44
n41,g28,g6
n18,g65,g94
n11,g2,g54
n30,g1,g80
n35,g7,g14
n8,g6,g84
n83,g38,g9
n39,g9,g0
n33,g17,g51
n27,g2,g33
n50,g45,g7
n12,g84,g11
n82,g57,g35
n0,g7,g3
n43,g63,g90
n58,g48,g19
n36,g26,g34
n42,g51,g54
n61,g60,g29
n78,g26,g10
n3,g83,g91
n29,g72,g5
n49,g69,g68
n88,g87,g41
n86,g42,g46
n62,g48,g58
n40,g49,g0
n51,g61,g35
n7,g20,g54
n15,g33,g70
n48,g88,g79
n64,g99,g44
n2,g56,g90
