n0,g84,g47
n1,g79,g4
n2,g51,g70
n3,g34,g59
n4,g21,g5
n5,g76,g77
n6,g9,g16
n7,g78,g16
n8,g36,g49
n9,g69,g15
n10,g93,g43
n11,g31,g90
n12,g33,g53
n13,g10,g98
n14,g58,g95
n15,g95,g62
n16,g97,g49
n17,g68,g24
n18,g21,g15
n19,g89,g40
n20,g20,g4
n21,g53,g25
n22,g18,g97
n23,g81,g18
n24,g26,g17
n25,g96,g81
n26,g43,g18
n27,g8,g38
n28,g23,g87
n29,g39,g65
n30,g42,g27
n31,g45,g14
n32,g70,g41
n33,g42,g38
n34,g47,g53
n35,g57,g82
n36,g42,g76
n37,g53,g45
n38,g34,g9
n39,g56,g6
n40,g68,g58
n41,g96,g75
n42,g50,g14
n43,g25,g33
n44,g87,g48
n45,g78,g69
n46,g73,g21
n47,g5,g69
n48,g94,g80
n49,g34,g60
n50,g49,g2
n51,g62,g60
n52,g86,g57
n53,g87,g77
n54,g95,g27
n55,g98,g96
n56,g51,g72
n57,g41,g84
n58,g93,g94
n59,g65,g7
n60,g73,g10
