n0,g59,g82
n1,g30,g64
n2,g18,g78
n3,g78,g71
n4,g13,g96
n5,g31,g74
n6,g86,g15
n7,g81,g83
n8,g75,g2
n9,g81,g29
n10,g57,g48
n11,g2,g66
n12,g52,g31
n13,g65,g98
n14,g86,g6
n15,g16,g90
n16,g10,g73
n17,g87,g94
n18,g48,g50
n19,g22,g10
n20,g57,g35
n21,g12,g10
n22,g72,g94
n23,g24,g95
n24,g15,g68
n25,g26,g24
n26,g47,g66
n27,g58,g24
n28,g99,g32
n29,g28,g88
n30,g6,g80
n31,g44,g41
n32,g22,g25
n33,g53,g33
n34,g1,g3
n35,g27,g0
n36,g38,g12
n37,g79,g97
n38,g1,g87
n39,g12,g80
n40,g19,g94
n41,g60,g27
n42,g30,g74
n43,g75,g81
n44,g85,g61
n45,g88,g21
n46,g98,g12
n47,g88,g10
n48,g60,g59
n49,g80,g73
n50,g54,g99
n51,g29,g20
n52,g35,g78
n53,g44,g59
n54,g65,g77
n55,g51,g28
n56,g92,g89
n57,g64,g80
n58,g55,g89
n59,g53,g48
n60,g24,g16
