n0,g0,g22
n1,g73,g61
n2,g30,g83
n3,g2,g21
n4,g73,g6
n5,g99,g37
n6,g40,g46
n7,g57,g10
n8,g30,g49
n9,g76,g74
n10,g92,g77
n11,g40,g4
n12,g31,g75
n13,g72,g12
n14,g60,g77
n15,g43,g5
n16,g52,g69
n17,g69,g37
n18,g18,g60
n19,g36,g75
n20,g33,g76
n21,g56,g15
n22,g80,g53
n23,g25,g60
n24,g68,g79
n25,g22,g48
n26,g49,g80
n27,g78,g3
n28,g74,g83
n29,g78,g41
n30,g9,g89
n31,g90,g67
n32,g72,g55
n33,g88,g14
n34,g97,g17
n35,g53,g77
n36,g42,g26
n37,g26,g1
n38,g64,g68
n39,g36,g78
n40,g66,g23
n41,g48,g23
n42,g25,g51
n43,g92,g71
n44,g36,g61
n45,g88,g68
n46,g40,g53
n47,g39,g51
n48,g56,g72
n49,g29,g41
n50,g84,g81
n51,g7,g90
n52,g82,g10
n53,g52,g5
n54,g51,g8
n55,g21,g3
n56,g48,g67
n57,g89,g33
n58,g98,g25
n59,g16,g79
n60,g69,g32
