n0,g64,g5
n1,g75,g0
n2,g53,g77
n3,g92,g59
n4,g82,g85
n5,g59,g89
n6,g33,g46
n7,g66,g30
n8,g79,g87
n9,g95,g70
n10,g69,g10
n11,g99,g81
n12,g46,g96
n13,g24,g2
n14,g17,g65
n15,g46,g29
n16,g58,g95
n17,g79,g22
n18,g96,g90
n19,g27,g97
n20,g35,g29
n21,g17,g49
n22,g14,g69
n23,g93,g23
n24,g8,g18
n25,g61,g74
n26,g10,g97
n27,g68,g7
n28,g35,g17
n29,g61,g28
n30,g54,g63
n31,g65,g14
n32,g59,g49
n33,g51,g97
n34,g76,g21
n35,g9,g11
n36,g50,g95
n37,g2,g78
n38,g1,g21
n39,g69,g0
n40,g65,g69
n41,g14,g83
n42,g70,g89
n43,g84,g38
n44,g68,g70
