n0,g29,g86
n1,g37,g92
n2,g7,g31
n3,g4,g7
n4,g4,g43
n5,g97,g65
n6,g19,g70
n7,g97,g93
n8,g85,g23
n9,g2,g81
n10,g51,g66
n11,g80,g8
n12,g21,g51
n13,g92,g57
n14,g95,g62
n15,g89,g1
n16,g52,g75
n17,g6,g32
n18,g36,g8
n19,g83,g97
n20,g33,g79
n21,g33,g96
n22,g65,g23
n23,g57,g1
n24,g49,g64
n25,g74,g20
n26,g9,g44
n27,g81,g61
n28,g9,g85
n29,g34,g53
n30,g25,g6
n31,g99,g65
n32,g78,g38
n33,g81,g18
n34,g33,g67
n35,g11,g32
n36,g34,g52
n37,g13,g41
n38,g46,g22
n39,g38,g73
n40,g62,g55
n41,g55,g84
n42,g82,g1
n43,g67,g63
n44,g53,g89
n45,g35,g94
