n0,g8,g21
n1,g78,g26
n2,g26,g42
n3,g85,g44
n4,g63,g6
n5,g25,g10
n6,g5,g49
n7,g39,g0
n8,g1,g0
n9,g82,g69
n10,g41,g13
n11,g17,g93
n12,g15,g48
n13,g81,g57
n14,g9,g53
n15,g65,g76
n16,g50,g16
n17,g84,g14
n18,g44,g56
n19,g35,g2
n20,g46,g67
n21,g77,g33
n22,g10,g96
n23,g85,g57
n24,g59,g97
n25,g86,g67
n26,g25,g62
n27,g41,g26
n28,g24,g45
n29,g11,g67
n30,g51,g32
n31,g22,g43
n32,g46,g98
n33,g17,g70
n34,g16,g59
n35,g55,g63
n36,g81,g87
n37,g11,g77
n38,g15,g64
n39,g36,g54
n40,g70,g99
n41,g19,g55
n42,g77,g51
n43,g67,g2
n44,g61,g58
n45,g98,g15
n46,g22,g98
n47,g90,g0
n48,g69,g64
n49,g67,g99
n50,g86,g46
n51,g92,g19
