n0,g44,g81
n1,g82,g18
n2,g84,g50
n3,g45,g92
n4,g13,g75
n5,g35,g30
n6,g39,g3
n7,g2,g65
n8,g24,g26
n9,g37,g16
n10,g1,g47
n11,g50,g9
n12,g76,g78
n13,g11,g50
n14,g93,g24
n15,g70,g61
n16,g56,g32
n17,g99,g33
n18,g96,g78
n19,g37,g54
n20,g51,g28
n21,g18,g52
n22,g86,g0
n23,g66,g75
n24,g77,g56
n25,g2,g43
n26,g0,g25
n27,g49,g80
n28,g80,g35
n29,g11,g7
n30,g77,g14
n31,g78,g32
n32,g49,g14
n33,g48,g16
n34,g80,g46
n35,g83,g29
n36,g36,g33
n37,g66,g46
n38,g19,g66
n39,g97,g32
n40,g80,g79
n41,g66,g56
n42,g43,g66
n43,g14,g73
n44,g6,g9
n45,g34,g11
n46,g89,g14
n47,g42,g95
n48,g28,g16
n49,g29,g6
n50,g81,g3
n51,g53,g42
n52,g1,g29
n53,g72,g86
n54,g91,g4
