n0,g79,g36
n1,g92,g82
n2,g18,g38
n3,g33,g56
n4,g64,g72
n5,g52,g40
n6,g39,g90
n7,g48,g92
n8,g30,g59
n9,g42,g44
n10,g8,g1
n11,g35,g93
n12,g55,g59
n13,g5,g17
n14,g86,g44
n15,g99,g52
n16,g46,g49
n17,g86,g38
n18,g68,g19
n19,g75,g35
n20,g51,g66
n21,g86,g20
n22,g81,g9
n23,g77,g66
n24,g77,g50
n25,g14,g58
n26,g85,g2
n27,g20,g71
n28,g93,g85
n29,g50,g21
n30,g29,g51
n31,g92,g65
n32,g93,g17
n33,g44,g26
n34,g29,g0
n35,g18,g77
n36,g25,g91
n37,g22,g28
n38,g54,g26
n39,g38,g78
n40,g42,g59
n41,g47,g46
n42,g48,g13
n43,g68,g15
n44,g23,g97
n45,g95,g68
n46,g56,g83
n47,g40,g24
n48,g97,g81
n49,g52,g68
n50,g55,g29
n51,g59,g58
n52,g37,g59
n53,g9,g93
