n0,g25,g14
n1,g27,g80
n2,g59,g57
n3,g62,g31
n4,g32,g35
n5,g32,g82
n6,g23,g79
n7,g18,g78
n8,g27,g82
n9,g47,g12
n10,g71,g45
n11,g31,g93
n12,g66,g27
n13,g45,g7
n14,g18,g73
n15,g22,g61
n16,g1,g75
n17,g47,g99
n18,g92,g82
n19,g23,g54
n20,g4,g81
n21,g12,g0
n22,g46,g97
n23,g58,g51
n24,g76,g45
n25,g85,g28
n26,g58,g2
n27,g53,g24
n28,g14,g23
n29,g50,g48
n30,g28,g94
n31,g19,g41
n32,g62,g17
n33,g28,g1
n34,g41,g76
n35,g73,g3
n36,g28,g44
n37,g28,g12
n38,g69,g35
n39,g89,g25
n40,g62,g34
n41,g83,g95
n42,g7,g88
n43,g44,g42
n44,g33,g50
n45,g61,g26
n46,g48,g53
n47,g44,g62
n48,g56,g52
n49,g90,g13
n50,g73,g82
n51,g41,g99
n52,g74,g60
n53,g42,g51
n54,g72,g24
n55,g97,g67
n56,g61,g15
