n0,g12,g65
n1,g37,g58
n2,g22,g32
n3,g62,g20
n4,g63,g98
n5,g5,g88
n6,g7,g41
n7,g69,g0
n8,g56,g11
n9,g15,g53
n10,g84,g83
n11,g19,g73
n12,g77,g30
n13,g87,g60
n14,g77,g97
n15,g73,g41
n16,g87,g16
n17,g28,g85
n18,g51,g64
n19,g11,g66
n20,g48,g72
n21,g94,g87
n22,g22,g12
n23,g42,g66
n24,g49,g9
n25,g9,g55
n26,g94,g58
n27,g98,g0
n28,g10,g17
n29,g78,g13
n30,g64,g48
n31,g16,g31
n32,g70,g73
n33,g73,g25
n34,g19,g34
n35,g33,g36
n36,g8,g81
n37,g13,g49
n38,g16,g28
n39,g99,g76
n40,g99,g67
n41,g67,g18
n42,g56,g35
n43,g87,g91
n44,g92,g35
n45,g45,g39
n46,g8,g45
n47,g69,g98
n48,g98,g71
n49,g59,g76
n50,g19,g38
n51,g89,g11
n52,g7,g75
n53,g22,g91
n54,g26,g35
n55,g97,g54
n56,g18,g27
