n0,g70,g39
n1,g16,g7
n2,g78,g14
n3,g45,g93
n4,g91,g85
n5,g28,g97
n6,g21,g98
n7,g88,g13
n8,g2,g62
n9,g47,g43
n10,g74,g1
n11,g78,g38
n12,g40,g42
n13,g57,g36
n14,g48,g96
n15,g23,g84
n16,g73,g16
n17,g36,g91
n18,g34,g27
n19,g14,g69
n20,g4,g79
n21,g68,g89
n22,g50,g49
n23,g80,g54
n24,g34,g86
n25,g2,g59
n26,g11,g28
n27,g9,g10
n28,g39,g88
n29,g47,g68
n30,g79,g84
n31,g25,g4
n32,g25,g79
n33,g93,g58
n34,g6,g72
n35,g80,g87
n36,g74,g68
n37,g54,g10
n38,g7,g15
n39,g80,g36
n40,g53,g19
n41,g27,g81
n42,g94,g32
n43,g92,g42
n44,g32,g37
n45,g42,g64
n46,g4,g32
n47,g90,g98
n48,g61,g31
n49,g77,g1
n50,g54,g25
n51,g84,g25
n52,g68,g65
n53,g84,g1
n54,g21,g59
n55,g96,g59
n56,g88,g62
