n70,g38,g96
n65,g98,g73
n6,g90,g30
n35,g71,g86
n4,g77,g12
n32,g18,g2
n72,g27,g60
n26,g32,g61
n21,g88,g67
n60,g73,g88
n20,g61,g82
n51,g73,g38
n69,g45,g9
n71,g49,g75
n28,g28,g27
n14,g16,g45
n45,g80,g67
n39,g99,g65
n5,g75,g16
n23,g8,g60
n24,g78,g73
n54,g7,g35
n16,g46,g68
n17,g20,g81
n18,g52,g66
n63,g41,g17
n9,g44,g48
n25,g76,g27
n30,g16,g7
n31,g3,g58
n10,g83,g47
n43,g58,g32
n68,g87,g36
n34,g19,g69
n8,g26,g79
n53,g54,g63
n55,g48,g14
n38,g87,g44
n33,g61,g51
n62,g37,g28
n11,g82,g70
n27,g1,g19
n50,g67,g6
n44,g79,g33
n12,g54,g48
n67,g48,g38
n0,g35,g64
n22,g76,g61
n58,g29,g79
n36,g57,g5
n42,g15,g68
n61,g92,g29
n3,g72,g75
n29,g29,g32
n47,g28,g93
n49,g27,g92
n52,g6,g17
n59,g29,g18
n57,g22,g44
n66,g34,g83
n37,g16,g25
n13,g60,g46
n40,g14,g95
n19,g29,g41
n46,g11,g93
n7,g8,g99
n15,g92,g30
n48,g83,g41
n41,g69,g50
n64,g92,g8
n56,g13,g93
n2,g18,g10
n1,g28,g4
