n70,g49,g85
n6,g77,g11
n4,g48,g18
n22,g3,g4
n21,g25,g7
n60,g46,g43
n79,g84,g43
n74,g67,g83
n69,g90,g86
n28,g64,g33
n14,g85,g20
n45,g72,g23
n89,g0,g10
n5,g33,g61
n23,g52,g80
n24,g96,g58
n17,g33,g79
n54,g8,g13
n77,g0,g67
n63,g33,g48
n9,g93,g72
n25,g50,g87
n87,g83,g36
n10,g82,g60
n68,g36,g3
n34,g63,g24
n72,g62,g39
n73,g21,g69
n55,g7,g10
n44,g72,g30
n16,g30,g12
n80,g32,g34
n81,g44,g45
n75,g45,g14
n66,g3,g57
n47,g94,g17
n52,g26,g45
n59,g9,g58
n57,g48,g26
n71,g76,g31
n37,g46,g19
n31,g73,g81
n19,g9,g57
n46,g15,g12
n65,g9,g94
n85,g37,g95
n1,g5,g11
n84,g98,g89
n32,g21,g96
n26,g47,g65
n20,g77,g24
n53,g64,g60
n56,g58,g99
n76,g75,g38
n38,g65,g45
n13,g15,g78
n67,g1,g14
n41,g28,g46
n18,g74,g41
n11,g10,g23
n30,g50,g60
n35,g50,g45
n8,g30,g90
n83,g65,g27
n39,g89,g46
n33,g53,g8
n27,g55,g41
n50,g9,g8
n12,g71,g58
n82,g75,g29
n0,g1,g7
n43,g6,g88
n58,g51,g86
n36,g37,g89
n42,g21,g77
n61,g78,g29
n78,g14,g26
n3,g87,g80
n29,g56,g70
n49,g46,g54
n88,g50,g44
n86,g51,g79
n62,g69,g57
n40,g96,g90
n51,g58,g63
n7,g88,g84
n15,g8,g42
n48,g73,g98
n64,g20,g8
n2,g19,g30
