n70,g36,g11
n65,g27,g82
n6,g78,g91
n35,g89,g21
n4,g81,g2
n32,g33,g8
n26,g13,g87
n21,g77,g63
n60,g64,g34
n20,g30,g45
n51,g77,g2
n69,g22,g42
n71,g5,g17
n28,g4,g63
n14,g96,g51
n45,g58,g7
n39,g23,g76
n5,g14,g32
n23,g12,g6
n24,g98,g66
n54,g39,g89
n16,g6,g56
n17,g27,g62
n18,g89,g25
n63,g68,g15
n9,g52,g39
n25,g81,g34
n30,g98,g26
n31,g6,g66
n10,g15,g55
n43,g75,g74
n68,g37,g31
n34,g52,g13
n8,g68,g78
n53,g79,g14
n55,g91,g7
n38,g53,g9
n33,g87,g57
n62,g26,g19
n11,g75,g5
n27,g6,g80
n50,g23,g62
n44,g57,g28
n12,g78,g52
n67,g89,g63
n0,g17,g25
n22,g21,g13
n58,g24,g49
n36,g2,g44
n42,g33,g57
n61,g44,g88
n3,g9,g31
n29,g28,g42
n47,g43,g22
n49,g88,g87
n52,g42,g76
n59,g59,g53
n57,g46,g67
n66,g97,g45
n37,g17,g67
n13,g87,g15
n40,g66,g18
n19,g55,g3
n46,g10,g93
n7,g54,g3
n15,g58,g94
n48,g42,g37
n41,g76,g6
n64,g99,g47
n56,g53,g0
n2,g91,g57
n1,g7,g8
