n0,g12,g2
n1,g42,g82
n2,g35,g89
n3,g78,g37
n4,g19,g85
n5,g61,g19
n6,g94,g20
n7,g13,g80
n8,g52,g97
n9,g91,g83
n10,g3,g19
n11,g27,g5
n12,g76,g36
n13,g42,g19
n14,g40,g9
n15,g66,g70
n16,g71,g14
n17,g96,g76
n18,g84,g39
n19,g88,g42
n20,g15,g73
n21,g27,g74
n22,g63,g46
n23,g34,g89
n24,g45,g37
n25,g88,g50
n26,g60,g98
n27,g96,g0
n28,g11,g74
n29,g75,g61
n30,g91,g66
n31,g59,g54
n32,g28,g44
n33,g74,g9
n34,g25,g61
n35,g36,g20
n36,g60,g97
n37,g30,g95
n38,g1,g64
n39,g76,g50
n40,g61,g98
n41,g69,g89
n42,g31,g85
n43,g75,g86
n44,g44,g38
n45,g72,g5
n46,g8,g6
n47,g32,g51
n48,g1,g62
n49,g26,g86
n50,g64,g84
n51,g76,g78
n52,g23,g8
n53,g76,g20
n54,g1,g21
n55,g50,g9
n56,g51,g6
n57,g4,g83
n58,g2,g23
n59,g68,g44
n60,g29,g47
