n0,g96,g67
n1,g29,g95
n2,g24,g37
n3,g59,g81
n4,g65,g25
n5,g43,g93
n6,g45,g6
n7,g98,g48
n8,g72,g82
n9,g82,g57
n10,g68,g36
n11,g2,g52
n12,g93,g25
n13,g26,g30
n14,g38,g81
n15,g75,g64
n16,g42,g54
n17,g19,g13
n18,g55,g93
n19,g64,g22
n20,g41,g79
n21,g24,g44
n22,g1,g40
n23,g71,g41
n24,g79,g19
n25,g93,g26
n26,g49,g28
n27,g61,g49
n28,g85,g15
n29,g63,g90
n30,g87,g12
n31,g85,g91
n32,g0,g18
n33,g81,g25
n34,g13,g39
n35,g99,g64
n36,g66,g98
n37,g20,g76
n38,g20,g57
n39,g73,g2
n40,g57,g15
n41,g91,g22
n42,g89,g95
n43,g84,g40
n44,g73,g79
n45,g76,g41
n46,g72,g22
n47,g99,g62
n48,g8,g60
n49,g17,g12
n50,g67,g37
n51,g18,g69
n52,g82,g17
n53,g92,g85
n54,g21,g26
n55,g48,g30
n56,g58,g96
n57,g16,g34
n58,g23,g96
n59,g44,g8
n60,g86,g77
n61,g31,g27
n62,g74,g20
