n0,g79,g85
n1,g13,g42
n2,g72,g65
n3,g82,g56
n4,g81,g0
n5,g40,g91
n6,g56,g73
n7,g99,g62
n8,g53,g39
n9,g54,g91
n10,g93,g35
n11,g31,g75
n12,g67,g30
n13,g1,g69
n14,g64,g1
n15,g96,g7
n16,g89,g42
n17,g97,g2
n18,g97,g76
n19,g64,g43
n20,g39,g58
n21,g5,g50
n22,g26,g99
n23,g56,g41
n24,g28,g67
n25,g42,g66
n26,g81,g76
n27,g15,g88
n28,g12,g80
n29,g72,g69
n30,g61,g95
n31,g63,g32
n32,g56,g47
n33,g99,g58
n34,g86,g52
n35,g7,g36
n36,g86,g98
n37,g71,g27
n38,g84,g78
n39,g50,g91
n40,g44,g90
n41,g0,g46
n42,g93,g71
n43,g8,g45
n44,g5,g77
n45,g28,g16
n46,g78,g55
n47,g14,g52
n48,g8,g64
n49,g94,g44
n50,g13,g18
n51,g31,g42
n52,g33,g92
n53,g54,g92
n54,g18,g96
n55,g67,g26
n56,g18,g84
n57,g34,g75
