n70,g1,g34
n65,g18,g30
n6,g88,g6
n35,g10,g49
n4,g81,g95
n32,g40,g50
n72,g31,g33
n74,g3,g88
n26,g10,g28
n21,g18,g88
n60,g34,g92
n20,g92,g33
n73,g85,g65
n51,g80,g37
n69,g21,g31
n71,g67,g6
n28,g83,g68
n14,g61,g40
n45,g58,g0
n39,g95,g54
n5,g19,g69
n23,g30,g43
n24,g25,g92
n54,g77,g59
n16,g5,g24
n17,g68,g3
n18,g29,g81
n63,g42,g96
n9,g14,g57
n25,g73,g38
n30,g3,g27
n31,g49,g87
n10,g75,g23
n43,g22,g68
n68,g94,g10
n34,g35,g29
n8,g85,g18
n53,g7,g50
n55,g48,g2
n38,g79,g87
n33,g47,g30
n62,g91,g56
n11,g24,g22
n27,g91,g73
n50,g82,g83
n44,g53,g31
n12,g68,g95
n67,g81,g41
n75,g20,g40
n0,g28,g47
n22,g25,g83
n58,g72,g76
n36,g2,g50
n42,g55,g71
n61,g75,g63
n3,g48,g31
n29,g99,g52
n47,g15,g95
n49,g49,g1
n52,g80,g29
n59,g11,g82
n57,g5,g74
n66,g96,g80
n37,g68,g15
n13,g36,g59
n40,g20,g51
n19,g52,g85
n46,g64,g60
n7,g38,g42
n15,g95,g62
n48,g66,g10
n41,g40,g87
n76,g38,g46
n64,g13,g26
n56,g62,g4
n2,g48,g1
n1,g18,g49
