0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,g48,0,0,g16,0,0,0,0,0,0,0
0,g69,0,g77,g44,g63,0,0,g0,g28,g78,0,0,0,g83,0,g6,g54,g60,0
0,0,g53,g84,g51,0,0,0,0,0,0,0,0,0,0,0,g66,0,0,0
0,g21,0,0,0,g92,0,0,0,0,0,g20,0,g90,g97,0,0,0,0,0
0,0,0,0,g76,0,0,g39,0,g99,g43,0,0,0,g94,0,g19,g38,0,0
0,0,0,0,g79,0,0,0,0,g57,g74,0,g4,0,0,0,g50,0,0,0
0,0,0,0,0,g95,0,0,0,0,g34,g18,0,0,g68,0,0,0,g67,0
0,0,g62,0,g9,0,g10,0,g81,0,0,0,0,0,0,0,0,0,0,0
0,g2,g8,g45,g56,0,g27,g64,0,g7,0,0,g88,0,0,0,0,0,0,0
0,g59,0,g72,0,0,0,0,g87,0,0,0,0,0,g14,g52,0,0,0,0
0,g26,0,g42,g24,0,0,0,0,0,g12,0,0,0,g40,0,g1,g47,0,0
0,0,0,0,0,g58,0,0,0,0,0,0,0,g46,0,g33,g17,0,g80,0
0,0,0,g31,g35,g41,0,0,0,0,g61,0,0,0,0,0,g11,0,0,0
0,0,0,0,g70,g71,0,0,0,g13,0,g23,0,0,0,0,g55,0,g5,0
0,0,g89,g93,0,0,0,0,g98,0,g36,0,0,0,g82,0,0,0,g37,0
0,0,g86,0,0,0,g75,g73,g22,0,0,g32,0,g85,0,0,g29,0,0,0
0,g25,g30,0,0,g49,0,g65,g3,0,0,0,0,0,0,g96,0,0,0,0
0,0,0,g15,0,0,0,0,0,0,0,0,0,g91,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
