n0,g79,g9
n1,g41,g5
n2,g90,g52
n3,g83,g74
n4,g64,g29
n5,g1,g83
n6,g90,g88
n7,g29,g68
n8,g57,g76
n9,g15,g24
n10,g6,g27
n11,g45,g10
n12,g19,g10
n13,g23,g64
n14,g71,g63
n15,g88,g94
n16,g58,g87
n17,g41,g73
n18,g29,g11
n19,g55,g50
n20,g13,g96
n21,g51,g99
n22,g0,g20
n23,g53,g57
n24,g91,g37
n25,g40,g8
n26,g62,g23
n27,g7,g88
n28,g5,g1
n29,g70,g44
n30,g88,g78
n31,g11,g41
n32,g38,g2
n33,g24,g68
n34,g97,g35
n35,g9,g97
n36,g46,g87
n37,g11,g69
n38,g17,g95
n39,g15,g42
n40,g44,g73
n41,g16,g82
n42,g61,g70
n43,g44,g53
n44,g19,g78
n45,g46,g7
n46,g28,g70
n47,g22,g50
n48,g70,g3
n49,g40,g17
