n0,g88,g79
n1,g54,g26
n2,g45,g36
n3,g41,g50
n4,g11,g59
n5,g48,g98
n6,g44,g95
n7,g16,g12
n8,g12,g26
n9,g60,g28
n10,g15,g18
n11,g45,g94
n12,g33,g80
n13,g53,g77
n14,g87,g71
n15,g36,g80
n16,g82,g64
n17,g98,g75
n18,g62,g96
n19,g93,g75
n20,g5,g85
n21,g8,g28
n22,g4,g2
n23,g30,g61
n24,g94,g16
n25,g29,g40
n26,g27,g7
n27,g89,g51
n28,g72,g46
n29,g86,g2
n30,g4,g68
n31,g85,g35
n32,g82,g17
n33,g58,g59
n34,g86,g87
n35,g43,g15
n36,g64,g89
n37,g99,g60
n38,g27,g30
n39,g45,g8
n40,g23,g27
n41,g74,g23
n42,g44,g0
n43,g70,g67
n44,g42,g92
n45,g59,g35
n46,g97,g15
n47,g82,g99
n48,g47,g49
n49,g76,g95
n50,g18,g10
n51,g52,g1
n52,g98,g10
n53,g24,g19
n54,g35,g87
n55,g5,g52
n56,g13,g51
n57,g82,g23
n58,g67,g26
n59,g65,g68
n60,g92,g8
n61,g81,g64
n62,g12,g53
n63,g42,g46
n64,g34,g61
n65,g30,g46
n66,g19,g7
n67,g90,g85
n68,g31,g37
n69,g92,g52
