n70,g70,g27
n65,g82,g75
n6,g94,g81
n35,g9,g10
n4,g69,g47
n32,g59,g98
n72,g47,g13
n74,g74,g29
n26,g98,g63
n21,g78,g22
n60,g65,g38
n20,g81,g14
n73,g29,g36
n51,g66,g84
n69,g3,g16
n71,g66,g31
n28,g55,g86
n14,g40,g24
n45,g60,g81
n39,g35,g74
n5,g87,g1
n23,g48,g42
n24,g58,g33
n54,g82,g24
n16,g15,g7
n17,g55,g67
n18,g31,g38
n63,g30,g74
n9,g76,g2
n25,g16,g45
n30,g98,g22
n31,g1,g6
n10,g14,g90
n43,g10,g11
n68,g65,g3
n34,g17,g22
n8,g48,g64
n53,g97,g94
n55,g23,g24
n38,g96,g34
n33,g13,g51
n62,g84,g42
n11,g36,g95
n27,g90,g88
n50,g5,g7
n44,g18,g33
n12,g52,g7
n67,g41,g57
n75,g87,g98
n0,g86,g80
n22,g84,g38
n58,g62,g70
n36,g69,g94
n42,g20,g41
n61,g78,g61
n3,g9,g0
n29,g92,g2
n47,g62,g45
n49,g64,g26
n52,g29,g18
n59,g46,g31
n57,g97,g16
n66,g86,g39
n37,g89,g0
n13,g48,g81
n40,g20,g26
n19,g65,g0
n46,g6,g24
n7,g32,g88
n15,g43,g99
n48,g66,g55
n41,g74,g62
n76,g56,g59
n64,g75,g77
n56,g53,g4
n2,g84,g85
n1,g30,g18
