n0,g73,g44
n1,g75,g51
n2,g4,g5
n3,g79,g33
n4,g78,g31
n5,g44,g97
n6,g13,g6
n7,g11,g27
n8,g48,g60
n9,g79,g80
n10,g49,g48
n11,g39,g88
n12,g58,g32
n13,g46,g11
n14,g31,g50
n15,g3,g41
n16,g36,g34
n17,g30,g68
n18,g19,g67
n19,g29,g75
n20,g78,g40
n21,g82,g99
n22,g71,g90
n23,g28,g18
n24,g15,g59
n25,g86,g60
n26,g13,g55
n27,g24,g58
n28,g88,g19
n29,g78,g81
n30,g41,g55
n31,g23,g10
n32,g43,g74
n33,g62,g45
n34,g93,g45
n35,g45,g19
n36,g51,g28
n37,g8,g23
n38,g20,g17
n39,g99,g55
n40,g38,g13
n41,g56,g49
n42,g78,g4
n43,g10,g53
