n70,g43,g54
n65,g96,g26
n6,g28,g6
n35,g24,g37
n4,g28,g27
n32,g56,g91
n72,g54,g14
n74,g58,g15
n26,g0,g74
n21,g52,g93
n60,g90,g98
n20,g91,g77
n73,g58,g30
n51,g27,g73
n69,g14,g60
n71,g45,g52
n28,g28,g26
n14,g46,g86
n45,g53,g34
n39,g46,g58
n5,g8,g38
n23,g61,g18
n24,g21,g4
n54,g9,g2
n16,g64,g40
n17,g23,g99
n18,g89,g81
n63,g16,g19
n9,g99,g14
n25,g23,g17
n30,g9,g41
n31,g15,g74
n10,g8,g91
n43,g75,g50
n68,g48,g75
n34,g50,g3
n8,g54,g39
n53,g34,g71
n55,g78,g71
n38,g5,g38
n33,g55,g52
n62,g32,g16
n11,g55,g53
n27,g70,g26
n50,g50,g44
n44,g79,g95
n12,g34,g86
n67,g78,g86
n0,g88,g1
n22,g72,g4
n58,g54,g4
n36,g68,g41
n42,g42,g96
n61,g93,g3
n3,g69,g24
n29,g98,g57
n47,g20,g19
n49,g86,g64
n52,g18,g91
n59,g87,g36
n57,g42,g57
n66,g30,g78
n37,g40,g88
n13,g66,g19
n40,g16,g25
n19,g82,g59
n46,g82,g88
n7,g66,g43
n15,g31,g47
n48,g36,g82
n41,g62,g32
n64,g82,g37
n56,g17,g75
n2,g55,g62
n1,g44,g40
