n70,g38,g92
n65,g75,g96
n6,g23,g65
n35,g95,g39
n4,g89,g12
n32,g13,g41
n72,g97,g75
n74,g81,g7
n26,g59,g7
n21,g27,g72
n60,g6,g14
n20,g26,g19
n73,g2,g11
n51,g29,g0
n69,g91,g33
n71,g63,g23
n28,g2,g70
n77,g17,g39
n14,g22,g82
n45,g78,g3
n39,g83,g16
n5,g75,g70
n23,g1,g34
n24,g7,g16
n54,g6,g22
n16,g39,g66
n17,g8,g82
n18,g68,g3
n63,g72,g49
n9,g37,g5
n25,g68,g36
n30,g90,g18
n31,g70,g5
n10,g70,g33
n43,g24,g76
n68,g50,g33
n34,g2,g63
n8,g23,g49
n79,g37,g44
n53,g35,g21
n55,g12,g62
n38,g18,g76
n33,g78,g5
n62,g80,g44
n11,g18,g54
n27,g82,g30
n50,g8,g56
n44,g88,g51
n12,g47,g43
n67,g47,g25
n75,g34,g58
n80,g91,g35
n0,g68,g21
n22,g62,g73
n81,g2,g57
n58,g96,g70
n36,g76,g78
n42,g77,g90
n61,g41,g19
n78,g24,g88
n3,g24,g68
n29,g34,g7
n47,g62,g42
n49,g30,g62
n52,g94,g6
n59,g43,g74
n57,g9,g89
n66,g49,g80
n37,g0,g1
n13,g16,g94
n40,g21,g45
n19,g56,g86
n46,g22,g7
n7,g47,g94
n15,g14,g62
n48,g6,g38
n41,g29,g87
n76,g40,g1
n64,g25,g31
n56,g11,g38
n2,g25,g30
n1,g77,g47
