n0,g92,g47
n1,g90,g38
n2,g27,g0
n3,g14,g76
n4,g89,g99
n5,g9,g80
n6,g25,g46
n7,g23,g5
n8,g79,g45
n9,g99,g15
n10,g94,g72
n11,g36,g12
n12,g85,g76
n13,g15,g27
n14,g42,g58
n15,g9,g76
n16,g71,g78
n17,g15,g1
n18,g59,g14
n19,g71,g23
n20,g65,g74
n21,g97,g83
n22,g63,g94
n23,g30,g4
n24,g60,g27
n25,g11,g90
n26,g31,g73
n27,g90,g80
n28,g97,g49
n29,g74,g18
n30,g65,g51
n31,g59,g91
n32,g51,g9
n33,g72,g31
n34,g88,g42
n35,g56,g80
n36,g79,g78
n37,g52,g30
n38,g20,g37
n39,g70,g26
n40,g26,g29
n41,g32,g14
n42,g6,g58
n43,g47,g24
n44,g31,g24
n45,g8,g82
n46,g50,g9
n47,g12,g71
n48,g15,g18
n49,g37,g70
n50,g79,g64
n51,g20,g68
n52,g28,g84
n53,g77,g15
n54,g26,g12
n55,g25,g44
n56,g34,g6
n57,g11,g97
n58,g73,g98
n59,g34,g93
