n0,g36,g26
n1,g23,g51
n2,g65,g0
n3,g97,g77
n4,g96,g52
n5,g80,g18
n6,g97,g37
n7,g34,g46
n8,g62,g91
n9,g18,g1
n10,g71,g90
n11,g33,g38
n12,g7,g23
n13,g4,g47
n14,g74,g34
n15,g40,g34
n16,g8,g86
n17,g39,g79
n18,g58,g21
n19,g23,g33
n20,g47,g43
n21,g37,g80
n22,g97,g68
n23,g63,g83
n24,g84,g33
n25,g7,g4
n26,g80,g27
n27,g71,g74
n28,g60,g94
n29,g46,g65
n30,g84,g12
n31,g57,g9
n32,g58,g37
n33,g8,g75
n34,g89,g67
n35,g30,g50
n36,g50,g15
n37,g23,g16
n38,g89,g59
n39,g0,g56
n40,g94,g68
n41,g66,g83
n42,g71,g8
n43,g16,g9
n44,g47,g49
