n0,g21,g45
n1,g94,g47
n2,g89,g2
n3,g99,g33
n4,g78,g69
n5,g27,g93
n6,g34,g15
n7,g85,g46
n8,g8,g6
n9,g66,g98
n10,g39,g63
n11,g91,g53
n12,g49,g36
n13,g77,g12
n14,g55,g24
n15,g5,g42
n16,g95,g18
n17,g61,g8
n18,g80,g6
n19,g54,g92
n20,g33,g26
n21,g61,g50
n22,g82,g17
n23,g32,g83
n24,g46,g73
n25,g38,g39
n26,g84,g67
n27,g80,g12
n28,g78,g77
n29,g38,g13
n30,g38,g29
n31,g36,g64
n32,g4,g43
n33,g19,g52
n34,g61,g11
n35,g78,g37
n36,g66,g90
n37,g70,g36
n38,g96,g6
n39,g76,g79
n40,g51,g80
n41,g67,g30
n42,g76,g85
n43,g76,g71
n44,g73,g54
n45,g47,g69
n46,g92,g18
n47,g47,g73
n48,g68,g7
n49,g85,g22
n50,g93,g73
n51,g69,g53
n52,g78,g66
n53,g40,g1
n54,g0,g55
