n0,g13,g96
n1,g55,g56
n2,g56,g82
n3,g77,g20
n4,g41,g97
n5,g32,g31
n6,g4,g40
n7,g58,g82
n8,g69,g88
n9,g37,g30
n10,g26,g43
n11,g7,g34
n12,g12,g57
n13,g56,g26
n14,g8,g38
n15,g9,g97
n16,g40,g89
n17,g57,g27
n18,g21,g92
n19,g28,g17
n20,g17,g84
n21,g56,g98
n22,g99,g36
n23,g9,g33
n24,g75,g7
n25,g49,g12
n26,g1,g58
n27,g41,g69
n28,g96,g97
n29,g7,g15
n30,g7,g19
n31,g79,g11
n32,g42,g34
n33,g26,g46
n34,g76,g13
n35,g56,g52
n36,g63,g93
n37,g33,g16
n38,g65,g89
n39,g82,g61
n40,g75,g53
n41,g58,g92
n42,g78,g54
n43,g67,g61
n44,g41,g48
n45,g27,g73
n46,g63,g8
n47,g19,g91
n48,g6,g61
n49,g3,g14
n50,g36,g76
n51,g0,g12
n52,g59,g85
n53,g62,g80
n54,g28,g14
n55,g72,g80
n56,g22,g31
n57,g46,g52
n58,g75,g46
n59,g4,g78
n60,g34,g52
n61,g45,g10
n62,g10,g69
n63,g5,g49
