n70,g31,g61
n65,g66,g54
n6,g68,g49
n35,g66,g43
n4,g78,g73
n32,g79,g68
n72,g56,g92
n74,g53,g84
n26,g44,g65
n21,g17,g28
n60,g11,g19
n20,g22,g67
n73,g25,g45
n51,g33,g84
n69,g56,g6
n71,g77,g86
n28,g15,g22
n77,g91,g99
n14,g66,g19
n45,g7,g35
n39,g83,g91
n5,g28,g60
n23,g1,g83
n24,g56,g47
n54,g48,g18
n16,g14,g94
n17,g25,g15
n18,g3,g45
n63,g92,g45
n9,g22,g85
n25,g79,g38
n30,g23,g68
n31,g2,g55
n10,g27,g93
n43,g55,g27
n68,g18,g25
n34,g59,g63
n8,g29,g47
n79,g40,g49
n53,g39,g6
n55,g14,g83
n38,g49,g22
n33,g42,g29
n62,g81,g46
n11,g44,g82
n27,g68,g58
n50,g55,g94
n44,g20,g79
n12,g47,g81
n67,g43,g15
n75,g93,g42
n80,g43,g75
n0,g97,g76
n22,g1,g3
n58,g93,g1
n36,g56,g15
n42,g47,g35
n61,g34,g44
n78,g7,g45
n3,g18,g4
n29,g18,g29
n47,g6,g81
n49,g25,g82
n52,g78,g53
n59,g20,g10
n57,g87,g98
n66,g16,g10
n37,g9,g56
n13,g26,g3
n40,g57,g87
n19,g1,g35
n46,g96,g18
n7,g63,g30
n15,g88,g53
n48,g53,g95
n41,g47,g12
n76,g9,g45
n64,g38,g84
n56,g92,g4
n2,g14,g60
n1,g74,g49
