n70,g81,g99
n65,g58,g56
n6,g62,g78
n35,g90,g76
n4,g50,g5
n32,g51,g13
n72,g14,g28
n83,g28,g26
n74,g28,g1
n84,g0,g35
n26,g32,g88
n21,g48,g30
n60,g82,g19
n20,g30,g4
n73,g14,g89
n51,g16,g91
n69,g3,g53
n71,g63,g48
n28,g50,g22
n77,g19,g59
n14,g56,g13
n45,g69,g21
n39,g22,g20
n5,g57,g48
n23,g24,g3
n24,g92,g5
n54,g46,g73
n16,g78,g68
n82,g73,g72
n17,g98,g84
n18,g11,g85
n63,g20,g69
n9,g52,g48
n25,g14,g37
n30,g46,g0
n31,g94,g86
n10,g38,g8
n43,g89,g75
n68,g82,g4
n34,g67,g38
n8,g25,g91
n79,g58,g63
n53,g27,g68
n55,g87,g65
n38,g20,g57
n33,g67,g44
n62,g11,g83
n11,g53,g48
n27,g26,g88
n50,g62,g51
n44,g96,g71
n12,g63,g83
n67,g90,g49
n75,g14,g95
n80,g69,g52
n0,g84,g45
n22,g27,g79
n81,g26,g20
n58,g11,g68
n36,g28,g97
n42,g84,g77
n61,g5,g25
n78,g43,g71
n3,g66,g43
n29,g88,g14
n47,g43,g75
n49,g3,g70
n52,g23,g72
n59,g66,g33
n57,g50,g86
n66,g20,g65
n37,g59,g31
n13,g23,g46
n40,g80,g94
n19,g89,g97
n46,g94,g31
n7,g15,g34
n15,g94,g8
n48,g83,g82
n41,g42,g79
n76,g41,g24
n64,g7,g78
n56,g68,g51
n2,g52,g35
n1,g71,g78
