n0,g74,g47
n1,g2,g58
n2,g38,g59
n3,g98,g53
n4,g70,g28
n5,g29,g46
n6,g31,g68
n7,g68,g60
n8,g12,g42
n9,g68,g5
n10,g29,g89
n11,g53,g46
n12,g70,g88
n13,g79,g92
n14,g65,g50
n15,g89,g67
n16,g18,g79
n17,g52,g41
n18,g33,g59
n19,g78,g21
n20,g39,g97
n21,g1,g85
n22,g65,g59
n23,g14,g7
n24,g58,g26
n25,g43,g71
n26,g31,g5
n27,g70,g71
n28,g29,g94
n29,g79,g33
n30,g54,g89
n31,g92,g55
n32,g48,g74
n33,g33,g8
n34,g17,g10
n35,g7,g64
n36,g85,g42
n37,g20,g86
n38,g61,g23
n39,g86,g51
n40,g61,g12
n41,g97,g54
n42,g50,g53
n43,g15,g75
n44,g41,g16
n45,g9,g86
n46,g37,g39
