n70,g39,g72
n65,g90,g77
n6,g43,g12
n35,g0,g80
n4,g66,g47
n32,g82,g94
n26,g61,g90
n21,g37,g99
n60,g29,g1
n20,g31,g48
n51,g16,g76
n69,g12,g26
n28,g81,g38
n14,g19,g59
n45,g27,g56
n39,g7,g91
n5,g35,g0
n23,g69,g48
n24,g2,g82
n54,g76,g79
n16,g94,g4
n17,g94,g78
n18,g34,g55
n63,g65,g49
n9,g46,g29
n25,g47,g2
n30,g68,g47
n31,g24,g74
n10,g53,g6
n43,g73,g26
n68,g43,g81
n34,g52,g68
n8,g23,g24
n53,g83,g60
n55,g15,g29
n38,g41,g9
n33,g59,g83
n62,g14,g68
n11,g5,g95
n27,g17,g78
n50,g64,g34
n44,g63,g36
n12,g74,g55
n67,g58,g87
n0,g12,g85
n22,g75,g29
n58,g19,g11
n36,g31,g58
n42,g33,g60
n61,g67,g66
n3,g57,g23
n29,g37,g95
n47,g7,g32
n49,g22,g73
n52,g51,g69
n59,g88,g65
n57,g92,g38
n66,g0,g48
n37,g89,g52
n13,g59,g16
n40,g47,g25
n19,g41,g23
n46,g76,g75
n7,g94,g2
n15,g42,g1
n48,g10,g84
n41,g20,g69
n64,g1,g23
n56,g41,g78
n2,g76,g8
n1,g52,g7
