n0,g72,g24
n1,g22,g61
n2,g90,g1
n3,g95,g7
n4,g44,g43
n5,g12,g41
n6,g23,g68
n7,g94,g10
n8,g89,g23
n9,g89,g59
n10,g53,g58
n11,g51,g96
n12,g17,g34
n13,g81,g92
n14,g12,g95
n15,g84,g33
n16,g80,g18
n17,g90,g6
n18,g31,g5
n19,g9,g88
n20,g75,g6
n21,g6,g47
n22,g76,g59
n23,g42,g99
n24,g3,g18
n25,g44,g47
n26,g37,g3
n27,g53,g50
n28,g95,g41
n29,g27,g23
n30,g68,g51
n31,g56,g35
n32,g48,g91
n33,g52,g22
n34,g23,g14
n35,g21,g25
n36,g88,g73
n37,g45,g54
n38,g88,g61
n39,g16,g54
n40,g7,g0
n41,g86,g30
n42,g7,g8
n43,g99,g78
