n0,g49,g97
n1,g13,g65
n2,g2,g46
n3,g4,g75
n4,g94,g5
n5,g83,g12
n6,g25,g35
n7,g42,g48
n8,g84,g24
n9,g81,g33
n10,g5,g78
n11,g1,g40
n12,g56,g77
n13,g25,g21
n14,g37,g22
n15,g69,g20
n16,g8,g25
n17,g67,g38
n18,g24,g63
n19,g57,g38
n20,g47,g38
n21,g37,g63
n22,g83,g6
n23,g47,g58
n24,g4,g81
n25,g35,g7
n26,g1,g25
n27,g88,g91
n28,g19,g49
n29,g67,g73
n30,g83,g47
n31,g46,g88
n32,g0,g70
n33,g38,g75
n34,g84,g1
n35,g26,g54
n36,g52,g58
n37,g71,g40
n38,g27,g75
n39,g95,g44
n40,g97,g65
n41,g45,g27
n42,g0,g49
n43,g12,g28
