n70,g46,g86
n65,g28,g87
n6,g26,g70
n35,g29,g24
n4,g8,g75
n32,g21,g55
n26,g13,g92
n21,g7,g88
n60,g14,g75
n20,g88,g87
n51,g74,g62
n69,g32,g41
n28,g90,g18
n14,g54,g52
n45,g41,g79
n39,g10,g15
n5,g97,g63
n23,g50,g81
n24,g38,g25
n54,g15,g35
n16,g81,g66
n17,g88,g60
n18,g57,g9
n63,g24,g44
n9,g57,g47
n25,g0,g44
n30,g65,g92
n31,g10,g16
n10,g86,g16
n43,g52,g33
n68,g49,g84
n34,g49,g82
n8,g30,g28
n53,g32,g40
n55,g29,g43
n38,g35,g74
n33,g56,g57
n62,g44,g6
n11,g77,g90
n27,g19,g74
n50,g63,g62
n44,g96,g32
n12,g88,g5
n67,g59,g20
n0,g12,g52
n22,g78,g38
n58,g55,g65
n36,g49,g9
n42,g76,g97
n61,g22,g67
n3,g45,g96
n29,g20,g82
n47,g28,g81
n49,g84,g53
n52,g71,g32
n59,g2,g44
n57,g43,g18
n66,g5,g33
n37,g53,g27
n13,g79,g22
n40,g90,g12
n19,g6,g65
n46,g75,g16
n7,g83,g79
n15,g45,g85
n48,g18,g36
n41,g21,g65
n64,g94,g38
n56,g31,g10
n2,g70,g22
n1,g1,g36
