n70,g40,g23
n65,g69,g18
n6,g35,g13
n35,g75,g10
n4,g30,g71
n32,g81,g40
n72,g62,g26
n74,g51,g32
n26,g51,g55
n21,g50,g67
n60,g48,g47
n20,g28,g50
n73,g56,g49
n51,g66,g32
n69,g61,g12
n71,g37,g76
n28,g92,g97
n77,g68,g77
n14,g27,g68
n45,g38,g97
n39,g87,g12
n5,g5,g38
n23,g43,g12
n24,g94,g36
n54,g28,g21
n16,g84,g29
n82,g21,g1
n17,g27,g57
n18,g5,g92
n63,g38,g69
n9,g90,g38
n25,g42,g88
n30,g90,g91
n31,g89,g57
n10,g69,g80
n43,g90,g75
n68,g60,g12
n34,g78,g41
n8,g13,g40
n79,g24,g85
n53,g7,g97
n55,g8,g87
n38,g58,g78
n33,g74,g7
n62,g11,g31
n11,g26,g41
n27,g98,g99
n50,g59,g50
n44,g23,g34
n12,g45,g72
n67,g53,g11
n75,g93,g24
n80,g47,g67
n0,g73,g65
n22,g15,g2
n81,g15,g72
n58,g96,g0
n36,g57,g91
n42,g50,g40
n61,g86,g48
n78,g63,g7
n3,g20,g3
n29,g61,g65
n47,g23,g51
n49,g39,g64
n52,g16,g92
n59,g20,g96
n57,g61,g94
n66,g96,g89
n37,g47,g15
n13,g99,g90
n40,g31,g75
n19,g75,g25
n46,g80,g15
n7,g18,g55
n15,g10,g81
n48,g84,g56
n41,g29,g34
n76,g77,g70
n64,g79,g92
n56,g62,g54
n2,g3,g52
n1,g73,g55
