n0,g74,g66
n1,g53,g7
n2,g71,g7
n3,g81,g1
n4,g65,g33
n5,g86,g76
n6,g1,g13
n7,g60,g74
n8,g52,g41
n9,g94,g25
n10,g52,g63
n11,g51,g5
n12,g70,g71
n13,g61,g64
n14,g22,g30
n15,g68,g31
n16,g97,g40
n17,g21,g15
n18,g32,g39
n19,g2,g17
n20,g85,g15
n21,g27,g22
n22,g28,g1
n23,g62,g55
n24,g97,g0
n25,g0,g16
n26,g34,g52
n27,g25,g36
n28,g26,g24
n29,g39,g54
n30,g65,g6
n31,g81,g94
n32,g76,g41
n33,g31,g4
n34,g3,g68
n35,g72,g75
n36,g55,g79
n37,g92,g50
n38,g78,g79
n39,g30,g54
n40,g14,g64
n41,g8,g54
n42,g46,g38
n43,g39,g89
n44,g18,g12
n45,g98,g73
n46,g99,g7
n47,g33,g93
n48,g58,g15
n49,g3,g34
