n0,g36,g55
n1,g41,g97
n2,g28,g38
n3,g66,g49
n4,g33,g75
n5,g66,g6
n6,g32,g34
n7,g48,g92
n8,g16,g96
n9,g92,g19
n10,g6,g62
n11,g86,g98
n12,g84,g46
n13,g55,g9
n14,g66,g43
n15,g73,g2
n16,g23,g86
n17,g31,g10
n18,g58,g13
n19,g81,g10
n20,g82,g14
n21,g31,g81
n22,g4,g79
n23,g45,g40
n24,g58,g97
n25,g25,g92
n26,g48,g46
n27,g84,g65
n28,g51,g86
n29,g91,g73
n30,g1,g5
n31,g29,g67
n32,g95,g48
n33,g38,g30
n34,g6,g0
n35,g53,g28
n36,g84,g75
n37,g41,g66
n38,g2,g10
n39,g82,g4
n40,g29,g43
n41,g72,g40
n42,g51,g72
n43,g27,g33
n44,g56,g50
n45,g35,g84
n46,g45,g18
n47,g60,g7
n48,g55,g27
n49,g31,g47
n50,g50,g82
n51,g59,g82
n52,g0,g49
n53,g60,g56
n54,g48,g7
n55,g60,g39
n56,g58,g74
n57,g3,g16
n58,g87,g54
n59,g9,g68
n60,g93,g28
n61,g51,g92
n62,g21,g33
n63,g12,g23
n64,g72,g44
n65,g61,g65
n66,g86,g71
n67,g10,g27
