n0,g58,g2
n1,g16,g67
n2,g79,g77
n3,g94,g97
n4,g90,g44
n5,g96,g48
n6,g83,g53
n7,g35,g61
n8,g25,g26
n9,g91,g48
n10,g56,g33
n11,g32,g4
n12,g33,g95
n13,g32,g90
n14,g8,g13
n15,g95,g4
n16,g65,g61
n17,g0,g26
n18,g99,g10
n19,g39,g42
n20,g39,g44
n21,g10,g67
n22,g33,g81
n23,g99,g67
n24,g77,g28
n25,g26,g22
n26,g92,g17
n27,g13,g48
n28,g66,g44
n29,g4,g10
n30,g34,g20
n31,g50,g13
n32,g52,g89
n33,g80,g51
n34,g32,g60
n35,g20,g76
n36,g95,g48
n37,g13,g30
n38,g42,g38
n39,g97,g11
n40,g89,g16
n41,g34,g98
n42,g64,g73
n43,g36,g14
n44,g51,g18
n45,g78,g83
n46,g74,g26
n47,g38,g59
n48,g21,g6
n49,g78,g46
n50,g59,g40
n51,g83,g21
n52,g23,g44
n53,g84,g55
n54,g48,g55
n55,g81,g38
n56,g26,g43
n57,g10,g95
n58,g77,g11
n59,g79,g90
n60,g84,g52
n61,g47,g65
n62,g76,g38
