n0,g11,g80
n1,g53,g18
n2,g60,g75
n3,g10,g20
n4,g61,g53
n5,g53,g32
n6,g29,g39
n7,g49,g33
n8,g52,g75
n9,g84,g81
n10,g17,g79
n11,g31,g93
n12,g82,g58
n13,g73,g55
n14,g53,g84
n15,g58,g31
n16,g2,g86
n17,g3,g64
n18,g61,g21
n19,g21,g74
n20,g63,g31
n21,g17,g83
n22,g29,g91
n23,g89,g28
n24,g89,g8
n25,g20,g84
n26,g15,g58
n27,g94,g4
n28,g13,g53
n29,g0,g30
n30,g97,g1
n31,g94,g76
n32,g60,g64
n33,g33,g86
n34,g82,g23
n35,g55,g95
n36,g70,g39
n37,g31,g48
n38,g99,g17
n39,g63,g29
n40,g91,g77
n41,g2,g9
n42,g88,g1
n43,g81,g72
n44,g19,g0
n45,g95,g83
n46,g7,g20
n47,g81,g44
n48,g12,g51
n49,g74,g11
n50,g91,g86
n51,g55,g15
n52,g0,g77
n53,g59,g22
n54,g27,g30
n55,g5,g15
n56,g74,g50
n57,g23,g52
n58,g46,g44
n59,g91,g97
n60,g46,g59
n61,g34,g30
n62,g2,g74
n63,g36,g60
n64,g90,g4
n65,g31,g81
n66,g30,g9
n67,g71,g86
n68,g37,g24
