n0,g81,g67
n1,g23,g61
n2,g86,g43
n3,g8,g40
n4,g1,g68
n5,g73,g75
n6,g69,g95
n7,g55,g53
n8,g45,g94
n9,g50,g21
n10,g33,g93
n11,g96,g59
n12,g12,g16
n13,g98,g32
n14,g48,g51
n15,g91,g72
n16,g82,g70
n17,g16,g85
n18,g41,g1
n19,g99,g60
n20,g54,g84
n21,g0,g74
n22,g35,g33
n23,g18,g10
n24,g12,g93
n25,g61,g26
n26,g45,g98
n27,g12,g37
n28,g16,g96
n29,g2,g24
n30,g74,g17
n31,g89,g36
n32,g1,g18
n33,g95,g42
n34,g43,g13
n35,g16,g49
n36,g84,g43
n37,g45,g92
n38,g95,g45
n39,g56,g26
n40,g65,g88
n41,g46,g81
n42,g1,g59
n43,g64,g97
n44,g40,g83
n45,g84,g71
n46,g90,g96
n47,g46,g15
